age_range,name,gender,marital_status,household_size,education_level,ethnicity,language_preferences,nationality,occupation,religion,date_of_birth,geographic_mobility,citizenship_status,birthplace,military_service
65+,Quentin,Male,Divorced,1,High School,Hispanic,French,Canada,Retired,Other,2005-07-04,Moderate,Work Visa,Rural,Yes
25-34,Wendy,Non-Binary,Married,3-4,Postgraduate,Other,French,Australia,Student,Other,1952-04-03,Low,Citizen,Rural,No
<18,PJAnna,Female,Married,3-4,Postgraduate,Hispanic,English,Canada,Professional,Hinduism,1976-11-11,Low,Citizen,Urban,No
65+,Gavin,Non-Binary,Married,1,Doctorate,Hispanic,Other,USA,Retired,Buddhism,1996-02-23,Moderate,Other,Urban,Yes
65+,Cameron,Male,Married,2,Doctorate,African American,French,USA,Student,Buddhism,1997-08-10,Low,Citizen,Suburban,Yes
65+,Walker,Female,Married,3-4,High School,Other,English,USA,Retired,Buddhism,1997-02-04,Moderate,Work Visa,Rural,Yes
65+,Samuel,Male,Single,1,Postgraduate,Other,Other,Australia,Retired,Christianity,1944-06-19,High,Citizen,Rural,No
45-54,Liam,Female,Divorced,5+,Undergraduate,African American,Spanish,USA,Retired,Christianity,1947-05-23,Moderate,Other,Suburban,Yes
55-64,Walker,Non-Binary,Divorced,3-4,Undergraduate,Other,English,Australia,Student,Buddhism,1955-01-02,Low,Citizen,Rural,Yes
18-24,Kevin,Male,Married,2,Doctorate,Hispanic,English,USA,Professional,Buddhism,2000-09-23,Moderate,Permanent Resident,Urban,Yes
35-44,Bella,Non-Binary,Divorced,2,High School,Asian,Spanish,Canada,Professional,Hinduism,1973-06-21,Moderate,Permanent Resident,Suburban,Yes
45-54,Michael,Non-Binary,Married,3-4,Doctorate,Other,French,Canada,Professional,Islam,1995-11-24,Low,Other,Suburban,No
18-24,Ian,Male,Single,2,High School,Asian,Mandarin,Canada,Student,Buddhism,1951-07-10,Low,Work Visa,Rural,No
55-64,Isabella,Male,Married,3-4,Undergraduate,Caucasian,French,USA,Professional,Buddhism,1946-04-11,High,Work Visa,Urban,No
65+,Nicholas,Non-Binary,Divorced,3-4,Doctorate,Caucasian,French,USA,Retired,Atheism,1966-07-22,High,Citizen,Suburban,Yes
<18,Imogen,Male,Divorced,2,Undergraduate,Asian,French,USA,Self-employed,Other,1966-06-11,Moderate,Citizen,Urban,Yes
45-54,Gideon,Male,Married,2,Postgraduate,African American,Other,USA,Professional,Islam,1948-02-03,Low,Citizen,Urban,No
25-34,Katherine,Female,Married,2,Postgraduate,Other,French,Canada,Self-employed,Christianity,1982-05-08,High,Other,Rural,Yes
55-64,Julia,Male,Married,1,High School,Asian,French,UK,Professional,Hinduism,2005-05-21,High,Other,Urban,Yes
65+,Piper,Male,Divorced,2,Doctorate,Other,Mandarin,USA,Retired,Christianity,1973-06-20,High,Citizen,Urban,Yes
35-44,Lily,Male,Divorced,1,Postgraduate,Other,Mandarin,India,Student,Christianity,2000-11-07,High,Citizen,Rural,No
18-24,Blake,Non-Binary,Married,2,Doctorate,Caucasian,English,India,Self-employed,Other,1966-08-30,Low,Citizen,Urban,Yes
25-34,Wyatt,Female,Single,2,Doctorate,Asian,English,USA,Student,Buddhism,2002-10-10,Moderate,Permanent Resident,Urban,Yes
45-54,Gideon,Non-Binary,Single,5+,Undergraduate,Asian,Spanish,Canada,Professional,Christianity,1962-10-15,Moderate,Work Visa,Suburban,Yes
18-24,Dean,Female,Divorced,1,High School,Asian,Other,UK,Professional,Christianity,1974-01-14,High,Citizen,Urban,Yes
18-24,Elias,Male,Married,5+,Postgraduate,Asian,English,Canada,Self-employed,Other,1947-06-18,Low,Other,Suburban,Yes
18-24,Oscar,Male,Single,2,Undergraduate,African American,French,UK,Retired,Buddhism,1995-02-02,Low,Permanent Resident,Rural,Yes
45-54,Carter,Non-Binary,Divorced,1,High School,Caucasian,Mandarin,India,Student,Hinduism,1984-09-09,Moderate,Permanent Resident,Rural,No
45-54,Charlie,Male,Single,2,Undergraduate,Other,Mandarin,Australia,Retired,Islam,1939-02-09,Moderate,Other,Urban,No
25-34,Amelia,Male,Divorced,5+,Doctorate,Hispanic,Mandarin,Canada,Student,Hinduism,1993-03-31,Moderate,Work Visa,Rural,No
25-34,Uriel,Non-Binary,Single,5+,Postgraduate,Hispanic,Other,Canada,Student,Christianity,1946-03-28,Moderate,Citizen,Rural,No
55-64,Zara,Non-Binary,Divorced,5+,High School,Other,Other,UK,Professional,Islam,1966-03-29,High,Citizen,Rural,No
<18,Aaron,Male,Single,3-4,Doctorate,Caucasian,Other,Australia,Self-employed,Hinduism,1976-10-29,Low,Citizen,Urban,No
<18,Zeke,Female,Married,1,Doctorate,Hispanic,Other,Australia,Student,Other,1968-02-22,Moderate,Permanent Resident,Urban,Yes
65+,Vanessa,Male,Married,5+,Postgraduate,Caucasian,Spanish,UK,Professional,Atheism,1943-09-07,Low,Work Visa,Rural,Yes
65+,Lucas,Female,Married,3-4,Postgraduate,African American,Mandarin,India,Professional,Hinduism,2006-05-30,Low,Work Visa,Urban,Yes
25-34,David,Non-Binary,Divorced,1,Undergraduate,Other,French,India,Self-employed,Islam,1947-05-19,Moderate,Citizen,Urban,Yes
25-34,Riley,Non-Binary,Married,1,High School,Hispanic,Other,India,Professional,Other,1946-11-19,Moderate,Other,Urban,Yes
35-44,Reed,Female,Married,2,Doctorate,African American,English,UK,Student,Christianity,1968-08-27,High,Other,Urban,Yes
55-64,Madison,Non-Binary,Divorced,5+,Undergraduate,Other,Other,Australia,Professional,Other,1988-01-19,Low,Work Visa,Rural,No
18-24,Hannah,Non-Binary,Divorced,3-4,Doctorate,Caucasian,English,Canada,Professional,Buddhism,1947-11-08,Low,Permanent Resident,Rural,No
25-34,Yasmin,Female,Married,3-4,Doctorate,Hispanic,Mandarin,Australia,Self-employed,Buddhism,1959-07-27,Moderate,Work Visa,Suburban,Yes
<18,Isla,Female,Single,3-4,Doctorate,Asian,Mandarin,Canada,Student,Atheism,1995-10-10,Moderate,Other,Urban,No
55-64,Thomas,Non-Binary,Divorced,1,High School,Caucasian,Mandarin,USA,Retired,Islam,1954-11-28,Low,Citizen,Suburban,Yes
45-54,Ian,Non-Binary,Single,3-4,Undergraduate,Other,Spanish,Canada,Professional,Atheism,1996-03-08,High,Work Visa,Suburban,No
55-64,Dakota,Non-Binary,Divorced,2,High School,Hispanic,English,India,Student,Buddhism,1995-07-30,High,Other,Suburban,Yes
<18,Warren,Female,Single,5+,Undergraduate,Other,Other,Canada,Professional,Hinduism,1981-05-21,High,Permanent Resident,Suburban,Yes
45-54,Zion,Non-Binary,Single,5+,Postgraduate,Other,English,India,Professional,Atheism,1980-04-01,Moderate,Permanent Resident,Suburban,No
55-64,Colton,Male,Single,2,High School,Asian,Mandarin,India,Retired,Other,1977-03-11,Low,Permanent Resident,Urban,No
65+,Zion,Non-Binary,Married,3-4,High School,Other,Spanish,Canada,Self-employed,Christianity,1975-11-03,High,Permanent Resident,Rural,Yes
45-54,Xenia,Male,Divorced,3-4,Undergraduate,Asian,Other,Australia,Retired,Buddhism,1944-02-09,Moderate,Citizen,Rural,No
35-44,Bella,Female,Married,5+,Doctorate,Other,Spanish,Canada,Student,Buddhism,1974-03-17,Moderate,Permanent Resident,Suburban,Yes
45-54,Quinn,Male,Divorced,5+,Doctorate,Asian,Mandarin,UK,Self-employed,Christianity,1968-09-02,High,Other,Urban,No
25-34,Felicity,Male,Married,5+,High School,African American,English,India,Self-employed,Hinduism,2002-02-03,Low,Other,Urban,No
35-44,Quintin,Male,Married,1,Doctorate,African American,Other,USA,Student,Christianity,1966-04-21,Low,Other,Suburban,Yes
55-64,Delilah,Male,Single,2,High School,Caucasian,English,Canada,Retired,Christianity,1946-07-10,High,Permanent Resident,Suburban,Yes
65+,Eleanor,Non-Binary,Divorced,5+,Doctorate,Hispanic,Other,Canada,Student,Atheism,1948-04-18,Low,Other,Rural,No
65+,Paula,Female,Single,1,Doctorate,Caucasian,French,Canada,Professional,Islam,1961-10-10,High,Permanent Resident,Urban,No
<18,Uma,Male,Single,3-4,Undergraduate,African American,Other,USA,Student,Christianity,2001-10-21,Low,Work Visa,Urban,No
65+,Laura,Male,Single,5+,Doctorate,Caucasian,Other,UK,Student,Buddhism,1997-01-17,Low,Citizen,Suburban,No
35-44,Elena,Male,Married,1,Postgraduate,Caucasian,Spanish,India,Self-employed,Islam,1989-04-13,Low,Citizen,Rural,Yes
45-54,Ian,Non-Binary,Married,3-4,High School,Hispanic,English,UK,Student,Hinduism,1967-02-25,Low,Citizen,Suburban,Yes
45-54,Laura,Female,Single,5+,Undergraduate,Caucasian,Other,Canada,Retired,Islam,1963-05-11,High,Permanent Resident,Rural,No
25-34,Delilah,Non-Binary,Single,1,Postgraduate,Hispanic,Other,Canada,Professional,Atheism,2006-01-01,High,Permanent Resident,Urban,Yes
35-44,Xavier,Male,Single,1,Postgraduate,Caucasian,Mandarin,Australia,Student,Islam,1989-01-10,Moderate,Citizen,Urban,Yes
45-54,Fiona,Female,Married,2,High School,Asian,Mandarin,Canada,Retired,Christianity,1957-03-30,High,Citizen,Urban,No
65+,Kaitlyn,Male,Single,2,Postgraduate,Hispanic,French,Canada,Student,Buddhism,1959-06-13,Moderate,Work Visa,Suburban,No
18-24,Zack,Non-Binary,Single,5+,High School,Hispanic,French,Canada,Self-employed,Buddhism,1994-08-12,Moderate,Permanent Resident,Suburban,No
45-54,David,Female,Single,3-4,Postgraduate,African American,Mandarin,UK,Retired,Christianity,1962-10-27,Moderate,Permanent Resident,Rural,Yes
45-54,Mia,Male,Married,3-4,Undergraduate,Other,Other,India,Student,Other,2000-09-04,High,Permanent Resident,Suburban,No
18-24,Logan,Female,Single,3-4,High School,Asian,English,USA,Retired,Buddhism,1967-05-15,Moderate,Other,Suburban,No
18-24,Sebastian,Male,Divorced,1,Doctorate,Asian,Spanish,Canada,Professional,Islam,1994-11-20,High,Permanent Resident,Rural,Yes
35-44,William,Female,Single,3-4,Doctorate,Caucasian,Mandarin,Australia,Student,Buddhism,1990-02-08,High,Other,Suburban,Yes
25-34,Diana,Male,Single,2,Undergraduate,Asian,Other,India,Student,Buddhism,1953-01-28,Moderate,Work Visa,Urban,Yes
45-54,Kennedy,Female,Married,1,Postgraduate,Caucasian,Spanish,Canada,Retired,Hinduism,1940-12-02,Moderate,Citizen,Urban,No
<18,PJAnna,Female,Divorced,1,Undergraduate,Other,Mandarin,Australia,Retired,Hinduism,1953-03-03,High,Other,Suburban,No
18-24,Sebastian,Female,Divorced,3-4,Doctorate,Caucasian,English,Australia,Self-employed,Buddhism,1958-04-27,High,Citizen,Rural,Yes
18-24,Gideon,Male,Single,3-4,Doctorate,Caucasian,French,USA,Retired,Atheism,1972-06-10,Moderate,Permanent Resident,Rural,Yes
25-34,Hazel,Non-Binary,Married,1,High School,Asian,Other,India,Retired,Christianity,1944-04-04,Low,Other,Suburban,Yes
55-64,Paisley,Non-Binary,Divorced,1,High School,Caucasian,Mandarin,UK,Self-employed,Islam,1982-10-15,Low,Citizen,Urban,No
65+,Yosef,Female,Single,1,Undergraduate,African American,Other,UK,Professional,Other,1955-11-22,Low,Work Visa,Rural,Yes
65+,Charlotte,Female,Married,5+,Undergraduate,Other,Spanish,USA,Professional,Hinduism,1957-11-09,Low,Work Visa,Suburban,Yes
18-24,Rachel,Male,Single,5+,Undergraduate,Asian,Other,USA,Retired,Christianity,1963-05-08,Low,Other,Urban,No
<18,Ursula,Male,Married,3-4,Doctorate,Hispanic,Other,Australia,Student,Islam,1999-03-01,Low,Work Visa,Rural,Yes
25-34,Noah,Female,Married,5+,High School,Asian,Other,Australia,Student,Atheism,1975-09-29,Moderate,Other,Urban,Yes
25-34,Grace,Female,Single,2,Postgraduate,Asian,Spanish,USA,Professional,Islam,1968-01-01,Low,Citizen,Urban,Yes
<18,Sophia,Male,Married,1,Undergraduate,Asian,Spanish,India,Self-employed,Atheism,1943-08-29,Low,Other,Rural,Yes
18-24,Victor,Non-Binary,Single,1,Postgraduate,African American,Spanish,UK,Retired,Hinduism,1970-12-28,Moderate,Citizen,Urban,Yes
45-54,Katherine,Non-Binary,Married,5+,High School,Hispanic,English,India,Retired,Buddhism,1985-12-22,Moderate,Work Visa,Rural,No
25-34,Rose,Non-Binary,Married,3-4,Postgraduate,Asian,Spanish,USA,Retired,Islam,1964-04-04,High,Permanent Resident,Suburban,Yes
65+,Yasmin,Female,Divorced,3-4,Doctorate,African American,English,Canada,Professional,Hinduism,1967-08-22,Moderate,Work Visa,Urban,Yes
25-34,Diana,Non-Binary,Single,1,Postgraduate,Hispanic,English,India,Self-employed,Islam,1953-02-27,High,Citizen,Urban,No
55-64,Yvonne,Female,Divorced,2,Doctorate,Other,French,India,Student,Islam,1979-08-07,Moderate,Citizen,Suburban,Yes
25-34,Felicity,Non-Binary,Married,5+,Undergraduate,African American,French,Australia,Professional,Other,1950-11-22,High,Work Visa,Rural,No
65+,Noah,Female,Single,5+,High School,Hispanic,English,Australia,Retired,Atheism,2002-07-25,High,Other,Rural,No
25-34,Parker,Male,Married,5+,Undergraduate,Hispanic,English,USA,Student,Christianity,1980-11-17,Moderate,Work Visa,Urban,Yes
35-44,Karen,Female,Married,3-4,High School,Caucasian,Mandarin,Australia,Retired,Islam,1989-05-11,High,Work Visa,Rural,No
55-64,Delilah,Female,Single,2,Postgraduate,Caucasian,French,USA,Self-employed,Christianity,1956-04-16,Low,Other,Urban,Yes
55-64,Jade,Non-Binary,Divorced,3-4,Doctorate,Hispanic,Other,Australia,Self-employed,Hinduism,1987-02-28,Moderate,Permanent Resident,Suburban,Yes
65+,Isaac,Female,Divorced,1,Doctorate,Caucasian,French,Canada,Professional,Islam,1962-12-23,Low,Other,Suburban,Yes
45-54,Oliver,Non-Binary,Divorced,2,Doctorate,Hispanic,Other,Canada,Professional,Buddhism,1980-01-14,Moderate,Permanent Resident,Suburban,No
55-64,Gavin,Female,Married,5+,Doctorate,African American,Spanish,India,Professional,Other,1944-02-01,Low,Permanent Resident,Suburban,Yes
55-64,Eleanor,Non-Binary,Married,2,Doctorate,Caucasian,Other,Canada,Professional,Christianity,1983-05-16,High,Permanent Resident,Rural,Yes
35-44,Logan,Non-Binary,Married,5+,Undergraduate,African American,Other,Canada,Self-employed,Christianity,1989-12-28,Moderate,Permanent Resident,Suburban,No
<18,Julian,Non-Binary,Married,1,Postgraduate,Other,French,USA,Retired,Christianity,1981-09-06,Moderate,Other,Urban,Yes
55-64,Grace,Non-Binary,Single,3-4,Doctorate,Hispanic,Other,Canada,Student,Buddhism,1980-05-06,Moderate,Other,Suburban,No
35-44,Victor,Female,Single,3-4,Undergraduate,Other,Mandarin,Canada,Retired,Islam,1944-12-15,Low,Citizen,Urban,Yes
25-34,Harriet,Female,Divorced,3-4,Doctorate,Caucasian,English,Canada,Professional,Buddhism,1970-03-09,Moderate,Work Visa,Urban,No
18-24,Brianna,Female,Single,3-4,Doctorate,Caucasian,French,UK,Retired,Hinduism,1947-06-12,High,Permanent Resident,Rural,Yes
65+,Yosef,Male,Single,1,High School,African American,Spanish,Australia,Self-employed,Hinduism,1948-05-17,Low,Permanent Resident,Urban,No
35-44,Tina,Female,Single,3-4,High School,Hispanic,Mandarin,Australia,Retired,Atheism,1966-02-09,High,Other,Urban,Yes
18-24,Brandon,Male,Divorced,5+,High School,African American,Other,Canada,Professional,Other,1985-06-30,Moderate,Other,Rural,Yes
45-54,Eve,Female,Married,2,Undergraduate,Hispanic,French,Canada,Professional,Other,1943-04-13,High,Permanent Resident,Suburban,No
35-44,Eleanor,Female,Divorced,3-4,Undergraduate,African American,English,UK,Retired,Other,1972-01-22,Low,Work Visa,Urban,Yes
55-64,Cameron,Non-Binary,Divorced,5+,Postgraduate,Hispanic,Other,Canada,Student,Buddhism,1991-03-19,High,Other,Rural,Yes
<18,Jade,Male,Single,2,Undergraduate,African American,French,USA,Self-employed,Christianity,1948-06-08,Low,Citizen,Rural,No
<18,Fiona,Non-Binary,Divorced,3-4,Undergraduate,Asian,Mandarin,USA,Retired,Christianity,1944-08-01,High,Work Visa,Suburban,No
65+,Veronica,Male,Single,5+,Undergraduate,Asian,English,India,Professional,Atheism,1965-12-28,High,Citizen,Suburban,Yes
18-24,Reed,Non-Binary,Married,2,Undergraduate,Asian,English,Australia,Professional,Islam,2000-02-22,Low,Other,Rural,No
25-34,Ulysses,Female,Married,3-4,Postgraduate,Caucasian,French,Canada,Retired,Other,1959-08-28,High,Citizen,Urban,Yes
35-44,Laura,Non-Binary,Single,1,Postgraduate,Caucasian,Other,Canada,Self-employed,Hinduism,1981-10-04,High,Other,Urban,No
55-64,Elliot,Female,Divorced,5+,Undergraduate,African American,Spanish,UK,Retired,Atheism,1985-03-27,Moderate,Other,Urban,No
18-24,Benjamin,Female,Married,5+,Postgraduate,Hispanic,Spanish,UK,Professional,Christianity,1978-08-23,Moderate,Work Visa,Suburban,Yes
45-54,Yvonne,Male,Divorced,2,Undergraduate,Other,Spanish,Australia,Student,Christianity,1976-09-07,Low,Permanent Resident,Rural,No
55-64,Victoria,Non-Binary,Divorced,1,High School,Caucasian,English,USA,Professional,Islam,1958-09-27,Moderate,Citizen,Urban,No
<18,Yosef,Male,Divorced,2,Undergraduate,Asian,Other,USA,Retired,Islam,1988-10-03,Low,Citizen,Rural,Yes
35-44,Wesley,Female,Single,2,Postgraduate,Caucasian,Other,USA,Professional,Hinduism,1972-10-13,Moderate,Other,Urban,Yes
45-54,Julia,Non-Binary,Married,2,Doctorate,African American,Spanish,India,Professional,Other,2000-04-08,High,Permanent Resident,Suburban,Yes
65+,Wendy,Non-Binary,Single,2,Undergraduate,Other,French,USA,Professional,Christianity,1995-10-22,High,Work Visa,Urban,Yes
55-64,Asher,Male,Divorced,5+,Doctorate,Caucasian,Spanish,UK,Professional,Hinduism,1962-03-13,Low,Work Visa,Suburban,Yes
25-34,Brianna,Male,Married,1,Undergraduate,Other,Spanish,India,Self-employed,Atheism,1991-11-26,Low,Permanent Resident,Urban,No
55-64,Carter,Non-Binary,Divorced,1,Doctorate,Caucasian,Spanish,USA,Self-employed,Islam,1944-10-15,High,Permanent Resident,Rural,Yes
45-54,Sebastian,Non-Binary,Divorced,1,Doctorate,Asian,English,UK,Self-employed,Hinduism,1995-05-24,Moderate,Citizen,Suburban,No
<18,Gavin,Female,Single,1,Doctorate,African American,French,Australia,Student,Islam,1941-07-21,Moderate,Permanent Resident,Urban,No
65+,Fiona,Female,Single,1,Doctorate,Other,Mandarin,India,Retired,Christianity,1985-03-25,Low,Permanent Resident,Urban,No
<18,Oliver,Non-Binary,Married,5+,High School,African American,Mandarin,Australia,Student,Atheism,1950-04-08,High,Permanent Resident,Urban,No
35-44,Zoey,Male,Single,5+,Postgraduate,Other,Other,India,Student,Islam,2006-04-02,High,Other,Suburban,No
35-44,Oscar,Non-Binary,Divorced,5+,High School,Hispanic,Other,India,Retired,Islam,1952-04-01,High,Work Visa,Suburban,Yes
25-34,Ophelia,Male,Single,1,Postgraduate,Caucasian,Spanish,Canada,Student,Buddhism,1981-03-05,Low,Work Visa,Urban,No
45-54,Quincy,Non-Binary,Single,2,Doctorate,Other,Other,USA,Retired,Hinduism,1985-06-30,Low,Permanent Resident,Rural,Yes
25-34,Ursula,Male,Single,1,High School,Caucasian,English,India,Retired,Christianity,1960-01-23,Low,Work Visa,Urban,No
65+,Oliver,Non-Binary,Married,3-4,Postgraduate,Hispanic,Mandarin,Canada,Retired,Buddhism,2003-05-14,High,Work Visa,Rural,Yes
65+,Faith,Male,Single,3-4,High School,Other,Other,USA,Retired,Hinduism,1978-11-29,Low,Citizen,Rural,No
45-54,Gideon,Male,Divorced,5+,Doctorate,Hispanic,English,Canada,Self-employed,Other,1996-05-03,Low,Permanent Resident,Urban,No
65+,Oscar,Non-Binary,Divorced,2,High School,Asian,Other,USA,Professional,Christianity,1997-01-06,Low,Work Visa,Rural,No
<18,Yvonne,Non-Binary,Married,5+,Doctorate,African American,Spanish,Australia,Self-employed,Atheism,1976-10-06,Low,Other,Urban,No
<18,Sadie,Male,Married,1,Doctorate,Other,English,India,Professional,Other,1970-08-13,Low,Citizen,Urban,No
<18,Leah,Female,Divorced,5+,High School,African American,French,Australia,Self-employed,Hinduism,1945-05-16,Low,Citizen,Rural,No
<18,Zoey,Female,Divorced,2,Postgraduate,African American,Mandarin,Canada,Self-employed,Hinduism,1963-05-08,Low,Other,Suburban,Yes
55-64,Hudson,Non-Binary,Married,1,Postgraduate,Other,Other,India,Retired,Islam,1992-06-26,High,Permanent Resident,Urban,Yes
25-34,Gabriel,Male,Married,3-4,Undergraduate,African American,Spanish,Canada,Student,Buddhism,1951-08-29,High,Work Visa,Rural,No
35-44,Olivia,Female,Single,5+,Doctorate,Other,English,Canada,Self-employed,Other,1964-05-14,Low,Citizen,Urban,Yes
35-44,Bella,Non-Binary,Divorced,1,Doctorate,African American,French,Canada,Retired,Hinduism,1958-12-03,High,Other,Suburban,No
35-44,Yasmin,Female,Single,2,Undergraduate,Hispanic,Other,UK,Retired,Buddhism,1965-07-24,High,Permanent Resident,Rural,Yes
65+,Leah,Male,Divorced,2,High School,Caucasian,French,Australia,Professional,Other,1950-08-23,Low,Work Visa,Urban,Yes
25-34,Adam,Female,Divorced,5+,High School,Asian,English,Australia,Student,Atheism,1990-07-22,Low,Permanent Resident,Suburban,Yes
65+,Alice,Male,Divorced,2,Doctorate,Asian,English,UK,Student,Islam,1971-07-11,Moderate,Citizen,Suburban,No
18-24,Hudson,Female,Single,1,Doctorate,Asian,Other,India,Student,Islam,1973-06-10,High,Permanent Resident,Urban,No
<18,Mia,Non-Binary,Divorced,3-4,High School,Hispanic,Spanish,Australia,Self-employed,Other,1955-07-31,Moderate,Work Visa,Rural,No
65+,Ian,Male,Divorced,1,Undergraduate,Hispanic,Mandarin,UK,Retired,Islam,1959-09-03,Low,Work Visa,Suburban,Yes
35-44,Sienna,Female,Divorced,2,Postgraduate,African American,Spanish,UK,Retired,Buddhism,1977-11-09,Low,Other,Suburban,No
35-44,Madison,Female,Married,5+,Postgraduate,Caucasian,Mandarin,Canada,Professional,Atheism,1988-03-06,High,Citizen,Suburban,Yes
55-64,Alice,Female,Married,2,Doctorate,Caucasian,French,UK,Retired,Buddhism,2001-09-16,Low,Citizen,Suburban,No
<18,Reed,Male,Divorced,2,High School,Caucasian,English,India,Retired,Other,1971-11-16,Moderate,Other,Suburban,No
45-54,Jordan,Female,Single,5+,Postgraduate,Asian,Other,India,Self-employed,Atheism,1951-02-10,High,Other,Urban,No
45-54,Felicity,Non-Binary,Single,2,Doctorate,Other,Mandarin,Australia,Self-employed,Buddhism,1968-07-11,High,Citizen,Urban,Yes
25-34,Hudson,Non-Binary,Single,1,Undergraduate,Hispanic,Spanish,USA,Student,Christianity,1954-03-02,Low,Other,Suburban,No
18-24,Cecilia,Female,Single,2,High School,Hispanic,English,Australia,Student,Islam,1964-09-25,High,Citizen,Urban,Yes
35-44,Oscar,Non-Binary,Divorced,1,Undergraduate,Hispanic,Other,Canada,Retired,Other,1961-07-22,Moderate,Other,Rural,No
<18,Riley,Non-Binary,Divorced,2,Doctorate,Other,Mandarin,Australia,Self-employed,Other,1945-07-31,Moderate,Citizen,Rural,Yes
45-54,Mia,Non-Binary,Single,5+,High School,Asian,Spanish,UK,Professional,Islam,1959-03-29,Low,Citizen,Suburban,No
<18,Uriel,Male,Married,2,Undergraduate,Other,French,UK,Retired,Christianity,1962-07-01,Low,Permanent Resident,Urban,No
35-44,Paula,Non-Binary,Single,3-4,High School,Hispanic,English,UK,Self-employed,Buddhism,2001-11-27,Low,Permanent Resident,Urban,Yes
55-64,Ava,Female,Divorced,1,Postgraduate,Asian,Other,UK,Self-employed,Islam,1958-04-09,High,Work Visa,Rural,No
55-64,Ruby,Male,Married,5+,Postgraduate,Other,Mandarin,Canada,Professional,Christianity,1988-03-16,Low,Other,Suburban,Yes
18-24,Claire,Female,Married,5+,Doctorate,Caucasian,Other,Australia,Student,Atheism,1962-04-11,Moderate,Other,Suburban,Yes
18-24,Julia,Male,Single,3-4,High School,Hispanic,Mandarin,Australia,Professional,Atheism,1966-01-13,Low,Work Visa,Urban,No
45-54,Laura,Female,Married,5+,Doctorate,Hispanic,Mandarin,UK,Self-employed,Other,1941-09-26,Moderate,Other,Urban,Yes
45-54,Lincoln,Female,Married,5+,Postgraduate,Caucasian,French,UK,Student,Islam,1940-05-12,Low,Permanent Resident,Suburban,No
18-24,Lily,Male,Single,1,Undergraduate,African American,Other,India,Student,Hinduism,2006-04-13,Low,Work Visa,Suburban,No
35-44,Ivy,Male,Divorced,5+,Undergraduate,Hispanic,Mandarin,UK,Retired,Atheism,1988-07-31,High,Permanent Resident,Rural,No
55-64,Isaac,Male,Married,2,Undergraduate,Other,Other,India,Self-employed,Christianity,1972-05-28,High,Citizen,Suburban,Yes
55-64,Oscar,Male,Single,5+,Postgraduate,Caucasian,English,UK,Self-employed,Hinduism,2000-08-22,Low,Other,Rural,Yes
25-34,Madison,Male,Single,5+,High School,Hispanic,Spanish,Australia,Self-employed,Christianity,1998-05-19,Moderate,Citizen,Rural,Yes
65+,Claire,Female,Single,3-4,High School,Asian,Other,Canada,Professional,Islam,1998-01-08,Low,Work Visa,Urban,Yes
45-54,Mia,Female,Married,3-4,High School,Hispanic,Mandarin,Australia,Student,Hinduism,2003-11-20,Moderate,Other,Urban,No
55-64,Charlotte,Male,Single,3-4,Doctorate,Hispanic,English,Australia,Professional,Islam,1963-08-11,Low,Permanent Resident,Urban,Yes
65+,Katherine,Female,Married,3-4,Undergraduate,Hispanic,Spanish,Canada,Professional,Hinduism,1968-11-10,Low,Citizen,Suburban,No
35-44,Ophelia,Non-Binary,Single,2,Undergraduate,Asian,French,Australia,Retired,Islam,1942-04-18,Moderate,Other,Rural,Yes
65+,Hazel,Male,Single,1,Postgraduate,Caucasian,French,India,Self-employed,Other,1948-09-08,Low,Citizen,Suburban,Yes
65+,Daisy,Female,Single,2,Undergraduate,Asian,Spanish,Australia,Student,Christianity,1983-05-10,High,Work Visa,Suburban,No
45-54,David,Female,Married,2,High School,Hispanic,Mandarin,USA,Professional,Hinduism,2004-11-11,Low,Permanent Resident,Urban,No
65+,Uma,Female,Divorced,3-4,Doctorate,Asian,English,Canada,Student,Hinduism,1999-02-04,Moderate,Citizen,Rural,No
<18,Wesley,Non-Binary,Divorced,2,Doctorate,Hispanic,Spanish,UK,Self-employed,Buddhism,2005-06-09,Moderate,Permanent Resident,Urban,No
55-64,Taylor,Non-Binary,Divorced,2,Undergraduate,Other,Spanish,Canada,Professional,Islam,1956-05-12,High,Other,Urban,No
55-64,Felicity,Non-Binary,Divorced,5+,Doctorate,Hispanic,English,Australia,Self-employed,Christianity,1983-06-02,Low,Work Visa,Rural,No
35-44,Gideon,Female,Divorced,3-4,High School,African American,Spanish,Australia,Self-employed,Hinduism,1959-12-17,Moderate,Permanent Resident,Urban,No
55-64,Quentin,Non-Binary,Married,1,Postgraduate,African American,English,India,Self-employed,Buddhism,1973-02-02,Moderate,Work Visa,Rural,Yes
35-44,Oliver,Non-Binary,Married,2,Undergraduate,Hispanic,Spanish,USA,Professional,Islam,1961-09-08,Moderate,Citizen,Suburban,No
45-54,Noah,Non-Binary,Single,3-4,Postgraduate,African American,Mandarin,UK,Retired,Christianity,1961-11-17,Moderate,Work Visa,Suburban,No
35-44,Ivan,Female,Married,3-4,Undergraduate,African American,Other,Canada,Self-employed,Hinduism,1962-01-15,High,Permanent Resident,Suburban,No
25-34,Jordan,Female,Single,3-4,High School,African American,Other,Australia,Professional,Buddhism,1961-10-15,Low,Citizen,Rural,Yes
18-24,Colton,Female,Single,3-4,High School,Other,French,India,Retired,Other,1961-09-15,Low,Permanent Resident,Urban,No
